,2020-03-09,2020-03-16,2020-03-23,2020-03-30,2020-04-06,2020-04-13,2020-04-20,2020-04-27,2020-05-04,2020-05-11,2020-05-18,2020-05-25,2020-06-01,2020-06-08,2020-06-15,2020-06-22,2020-06-29,2020-07-06,2020-07-13,2020-07-20,2020-07-27,2020-08-03,2020-08-10,2020-08-17,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-21,2020-09-28,2020-10-05,2020-10-12,2020-10-19,2020-10-26,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28,2021-01-04,2021-01-04,2021-01-11,2021-01-18,2021-01-25,2021-02-01,2021-02-08,2021-02-15,2021-02-22,2021-03-01
Georgia,-1.1725049281227944,-1.1670997416178568,-1.1411062604480446,-1.0495217520273048,-0.9301217894575605,-0.8202568188122566,-0.8175845917761078,-0.8579109270489004,-0.8582753216447389,-0.8743086838616323,-0.9299395921596413,-0.8495298513446151,-0.9201009380720021,-0.8791672784728121,-0.8215929323303311,-0.7464669131549629,-0.41310659039538694,-0.061040678382768505,0.12801938442476662,0.4180167502795627,0.3348133175631081,0.3591062906190073,0.24948424970426236,0.06819793827461497,-0.1452765624540988,-0.26036452230642104,-0.30882900355293985,-0.49776760149519544,-0.4536758553987385,-0.6547609398689437,-0.6723733453344706,-0.6575546317703721,-0.6171675640649398,-0.5433169259750064,-0.5011686177230213,1.5042163080414535,-0.02326510528084533,0.29345453093543983,0.06516131664262757,0.7638879541629269,1.3435182912766805,1.565009473113841,1.5225575026986573,2.3861726948358717,2.8443381666701297,2.407368313827144,1.9194439499994096,1.410384699613043,0.7430567297674933,0.2693437551774599,0.08848257077629075,0.10354421407094823,-0.14242213812003066
Hawaii,-1.1334678433276677,-1.125093146266173,-1.0371588271204795,-0.9345687881171701,-0.6707658306800892,-0.8675712116252131,-0.965973902097775,-1.0811259866933263,-1.1062500778778102,-1.1104374264085575,-1.118812123470052,-1.1292804947969204,-1.1167184492046784,-1.0874070094894472,-1.0245967815282375,-0.9555055307709067,-0.9575992050362804,-0.8759459086867077,-0.7231076873144306,-0.7984799608678823,-0.5032718894501965,0.034802396750833804,1.4940933597162738,2.0970715481438877,2.126382987859119,2.505338029891751,2.0384486687134253,0.9141455882077705,0.3886333475989821,0.4158511130488397,0.30488637698403576,0.2776686115341782,0.034802396750833804,0.22951410343058407,-0.10966112755994864,0.5645019858903695,0.07876955632368063,0.3802586505374875,0.23579512622670504,0.33838516523001433,0.61056281972859,1.2533208191983032,0.31954209684165136,1.0586091125185528,1.9735447664868417,0.9978925588227168,0.6670920248936787,0.2692939144726836,0.20439001224610015,-0.3399652967510511,-0.39858817618151354,-0.272967720259094,-0.36927673646628234
Idaho,-1.078994596225332,-1.0776718324964474,-1.0664283408009267,-0.9999594634244676,-0.8154339232450437,-0.9701972795245606,-0.9926842629156015,-1.0032663727466795,-1.0247612833410569,-1.0231078286799509,-1.016494010035527,-1.0105415732555458,-1.0085574276622187,-0.9797873165589751,-0.9930149538478227,-0.8782652003670698,-0.6438053294222461,-0.28169875864004307,-0.030704341084159904,0.23417909562501324,0.013608243833479552,-0.10940878295280311,0.09991857714321013,-0.0932049272739648,-0.35511214559314724,-0.4133137496640767,-0.481766772633863,-0.5449287406881103,-0.3475062541520599,-0.0836148902395503,0.06618810205664875,0.27749960774598914,0.5830580291183687,0.9884851120215475,0.8204941184531831,1.5245351131520966,1.9911400185161956,2.032145694111623,1.8413370262199964,2.2365126902243184,2.4491469596425435,1.824802479608937,0.9894771848182111,1.0017127493103952,1.288752478478388,0.8677829217608132,0.22789596791281064,-0.028389504558611573,-0.24366930143460624,-0.3270034163543461,-0.5277328122126084,-0.42091964110516406,-0.48672713661718087
Illinois,-1.0645626116039633,-1.0619723852072045,-1.0184565817416589,-0.8977049366273091,-0.7509568374945815,-0.6129684130854377,-0.6171127753202515,-0.4268017776965826,-0.23606692484435318,-0.29983358923001213,-0.29003782394772476,-0.3059088475060461,-0.5958729188668305,-0.7116795863146409,-0.8393542001621456,-0.8660570795614577,-0.8311125707179134,-0.8044096913186013,-0.6975510786959572,-0.7020251061085404,-0.5978980049588418,-0.567380428502485,-0.4922638629964836,-0.49810364614553954,-0.39684934154497326,-0.4306635697790228,-0.2897081587699555,-0.5022480083803534,-0.4532691819689167,-0.40871728794466755,-0.4119197496715692,-0.21972495103207573,0.13395868968897198,0.4105948688627981,1.034227195151495,1.9709943452956176,2.9679489378953323,2.8291598980544634,1.9406651489408433,2.1122323264570584,1.823634010832747,1.3590415853050324,0.7031491666203412,0.9090957126753534,1.2395615058763643,0.8227705311251962,0.48891389609570124,0.08822942002983251,-0.12073120765049887,-0.32027283025170783,-0.49132196248857135,-0.48628279477124087,-0.5163765159990371
Indiana,-0.9263340826622809,-0.9251566499447491,-0.9129407855003572,-0.8301525475489058,-0.7132187607890336,-0.667666832529524,-0.6848867860234258,-0.6467674017933354,-0.5643471115661126,-0.6179203002138074,-0.6577322439753498,-0.6617060793970194,-0.6911418973353133,-0.7187379766524638,-0.7416243250994872,-0.7414771460097956,-0.7419922728237158,-0.6857698605615746,-0.6754673242831718,-0.5615507088619747,-0.4995883121018662,-0.5228426082731183,-0.45028331705522406,-0.47854170227598614,-0.5204877428380548,-0.3833168312456056,-0.4488115261583093,-0.484943992677565,-0.5069472665864396,-0.48899141764408044,-0.3601361246191992,-0.20272808819417298,0.0008205928491287882,0.17920164955518936,0.5085884522846972,1.1536008128575606,2.1071005454237435,2.293797220697372,1.8666099128678828,2.6282617020212355,2.297991824753579,1.9376238236440166,1.2434536471142026,1.4453097686260525,1.8391610126404239,1.027909870261046,0.6062417782949869,0.2246799882698533,0.03231691804310318,-0.2521066727856609,-0.4359333558103058,-0.47523017275792806,-0.5151892956091619
Iowa,-0.9987300599110562,-0.9959250348364103,-0.9875099596124723,-0.960394717224228,-0.9156701507562616,-0.8868407263779557,-0.7938073947355309,-0.5976114742366818,-0.4222974070713084,-0.5648861816991455,-0.5792229765251138,-0.5935597713510821,-0.6401543545354791,-0.6621270509535393,-0.6537119757296014,-0.6812947222969534,-0.6002606645849586,-0.5316933849825014,-0.39206547015567955,-0.46842448607659776,-0.44645178965853766,-0.47419037095225897,-0.5006822744350264,-0.44894514528044516,-0.37554698916054213,0.2717904641772012,-0.12356223662151206,-0.30355134557796215,-0.105173738909944,-0.030373070252717998,-0.04502153453142475,0.12312413522096453,0.15304440268385494,0.38882234368048607,1.297650467865782,2.710759766581877,3.9156738708686922,2.9516802535486923,1.6545119912512978,1.4947813967228463,0.8024077074643982,0.7279187082599106,0.2432727092516338,0.46860972358152714,0.8661441105494094,0.321034237709875,0.24576606487354133,-0.02149049084967241,-0.1911945078657539,-0.2712935572195334,-0.4529968481660449,-0.42136239871309306,-0.49896809244496504
Kansas,-1.0067707242358728,-1.0056968714835728,-0.996748098547738,-0.9595212031346659,-0.9316010315748618,-0.9008172526755907,-0.9065444673545248,-0.7613953703352868,-0.6706548127659234,-0.6856887512981257,-0.8276162900604632,-0.8188464925833452,-0.8823827804277712,-0.8805930258406043,-0.8825617558864879,-0.8217100999228123,-0.7007226898303279,-0.6071185249214974,-0.48792086941617996,-0.46733869166376024,-0.4175835141405196,-0.5451930162055216,-0.5102928017557665,-0.4268902379937876,-0.3347178767546908,-0.27404519624973184,-0.28066728822224946,-0.48308853203082924,0.08838010765157142,-0.1680917246894496,-0.2556107240019125,-0.08343633271645383,-0.09202715473485508,0.08587445122953773,0.7949752186650753,1.5506096053669531,1.3140040489434848,2.4875461317488408,2.2935367344999458,1.8061865604143907,2.056036300782894,1.713835223716577,0.6609226000862722,2.1018540182143677,1.5817513351836576,1.4577213422929893,0.881957291601388,0.4334447920573555,0.24050924756076045,-0.19279033799235323,-0.15860602537746488,-0.5090399735447497,-0.6148144696463153
Kentucky,-1.0153498331231765,-1.0132531471902095,-1.0043422319751003,-0.9715815142724925,-0.9477317117849942,-0.8833896622170725,-0.8848311337959872,-0.868057646332252,-0.8785410759970865,-0.8438147152323223,-0.8519393732225691,-0.8997700210683763,-0.8670093033657686,-0.8080400115010746,-0.8637332315955079,-0.8444699295863745,-0.8212753414529282,-0.8655678317868539,-0.6206487062421583,-0.5211871672970412,-0.501661779546287,-0.47781197705878853,-0.5179110955267804,-0.4981236220344053,-0.47348756232204425,-0.36485302242019696,-0.3939445397401127,-0.4689010618436792,-0.41307679887843557,-0.3669497083531639,-0.21271224940928657,-0.009726842523928924,-0.05690227601568409,0.20780432302138654,0.517720712488056,0.5827179764100296,1.1792251243391116,1.6727325758111948,1.451401167012377,2.0910214194380905,1.9293145168580188,1.5027699723700658,0.9163531254933871,1.5743193798325612,2.496337018854754,2.0050572961864477,1.5351375614602423,1.1785699099850595,0.938237284918729,0.4270390458872376,0.058939621780736924,-0.016278986064450475,-0.21782292137089337
Louisiana,-1.3165545284393263,-1.3025599621665558,-1.1959117157430292,-0.8817578314818717,0.20676205320591784,-0.09645354937077541,-0.7804178688169822,-0.8589161256113728,-0.9036343948508002,-0.9530175195144844,-0.8610072676981085,-0.8762886906396395,-0.8746801198036889,-0.8500689860136443,-0.7048150395273026,-0.8084070013625231,-0.2777394825824111,0.12955065308028774,0.7578584216026027,0.8685280951160059,1.2359256740471292,0.6415587501633724,0.5577522096103448,-0.26792720048311225,-0.508247683374136,-0.4117334332170984,-0.4823496929153309,-0.5708210888926154,-0.6943593290936235,-0.7025630403569718,-0.7303913158189176,-0.5335022454985608,-0.6277644964852676,-0.559561093040961,-0.6498019169377912,-0.4702854116457012,0.5384493595789372,1.2055236852476623,0.6222559001319649,1.720105495668268,1.4968358636383208,1.5035918611493135,0.8674020955308405,2.115492207144932,2.828893372889035,2.2465907302749084,1.0773205896223974,1.3800536209483052,0.4827928086550455,-0.016990150074814414,-0.6272819252344825,-0.3636371652221746,-0.7237961753915201
Maine,-0.7694288177988773,-0.7676478103593288,-0.6919549941785205,-0.6233862077559057,-0.5761895106078722,-0.6242767114756799,-0.5610509473717105,-0.6376342672722932,-0.6180431854372604,-0.5459123841355488,-0.5459123841355488,-0.4417234489219654,-0.5289928134598387,-0.5512554064541941,-0.5708464882892269,-0.6233862077559057,-0.5610509473717105,-0.5699559845694527,-0.6590063565468743,-0.6376342672722932,-0.6563348453875517,-0.64119628215139,-0.6928454978982946,-0.6590063565468743,-0.6198241928768088,-0.6109191556790666,-0.6189336891570346,-0.6091381482395183,-0.5788610217671949,-0.5824230366462917,-0.5628319548112589,-0.5904375701242597,-0.5761895106078722,-0.5361168432180324,-0.31349091327447814,0.10504583501940386,0.34459133563866823,0.49063394568163987,0.2537599562216981,0.8690980265856821,1.5236182606197317,1.9225639270785806,1.8433090960186753,2.5361209900030164,2.530777967684371,3.0250075321590613,1.9368119865949682,1.6580843223056385,0.918075731173264,0.3971310551053471,0.09257878294256482,0.24396441530418173,0.2626649934194403
